ID,Transport,Vehicle Type,Frequency of Traveling by Air,Vehicle Monthly Distance Km
3333,private,electric,rarely,6775
3334,private,hybrid,never,5792
3335,walk/bicycle,,never,88
3336,walk/bicycle,,rarely,39
3337,walk/bicycle,,never,68
3338,public,,frequently,1824
3339,private,electric,rarely,6775
3340,walk/bicycle,,very frequently,90
3341,private,electric,rarely,1315
3342,walk/bicycle,,frequently,94
3343,public,,very frequently,1931
3344,public,,frequently,465
3345,public,,frequently,766
3346,walk/bicycle,,frequently,44
3347,public,,rarely,1740
3348,public,,never,1168
3349,walk/bicycle,,frequently,62
3350,walk/bicycle,,never,54
3351,private,petrol,rarely,8921
3352,walk/bicycle,,never,32
3353,public,,rarely,674
3354,walk/bicycle,,rarely,4
3355,walk/bicycle,,rarely,13
3356,private,lpg,rarely,3929
3357,public,,rarely,455
3358,public,,rarely,795
3359,walk/bicycle,,frequently,83
3360,private,electric,rarely,7298
3361,walk/bicycle,,never,90
3362,walk/bicycle,,never,93
3363,walk/bicycle,,rarely,43
3364,walk/bicycle,,never,10
3365,public,,never,451
3366,walk/bicycle,,never,92
3367,public,,never,824
3368,private,hybrid,never,6011
3369,walk/bicycle,,never,8
3370,private,electric,never,6580
3371,private,electric,rarely,3694
3372,public,,frequently,287
3373,walk/bicycle,,never,87
3374,walk/bicycle,,never,88
3375,private,hybrid,rarely,7368
3376,walk/bicycle,,frequently,51
3377,public,,very frequently,1185
3378,walk/bicycle,,never,19
3379,private,hybrid,never,5267
3380,private,hybrid,very frequently,5321
3381,walk/bicycle,,never,52
3382,walk/bicycle,,rarely,69
3383,public,,very frequently,1759
3384,walk/bicycle,,frequently,81
3385,walk/bicycle,,rarely,98
3386,public,,never,118
3387,public,,frequently,192
3388,public,,frequently,1843
3389,private,electric,frequently,1635
3390,public,,very frequently,1464
3391,private,hybrid,rarely,9658
3392,private,lpg,never,7843
3393,public,,very frequently,612
3394,walk/bicycle,,very frequently,37
3395,private,diesel,rarely,4226
3396,public,,frequently,249
3397,public,,never,1107
3398,public,,very frequently,1704
3399,public,,never,420
3400,private,petrol,rarely,4472
3401,private,electric,never,101
3402,public,,rarely,996
3403,public,,never,32
3404,private,diesel,frequently,746
3405,private,hybrid,never,2638
3406,walk/bicycle,,rarely,9
3407,public,,very frequently,1902
3408,private,hybrid,very frequently,7788
3409,public,,frequently,1939
3410,private,electric,frequently,2512
3411,public,,very frequently,686
3412,walk/bicycle,,never,41
3413,walk/bicycle,,frequently,68
3414,public,,frequently,430
3415,public,,very frequently,1016
3416,private,lpg,never,2597
3417,walk/bicycle,,very frequently,54
3418,private,lpg,frequently,3729
3419,public,,very frequently,1067
3420,walk/bicycle,,frequently,24
3421,public,,very frequently,1499
3422,public,,rarely,191
3423,walk/bicycle,,very frequently,46
3424,walk/bicycle,,rarely,66
3425,public,,never,1818
3426,walk/bicycle,,never,33
3427,public,,rarely,1193
3428,walk/bicycle,,frequently,75
3429,public,,frequently,1712
3430,walk/bicycle,,very frequently,65
3431,private,electric,rarely,7590
3432,private,hybrid,rarely,7943
3433,public,,rarely,104
3434,walk/bicycle,,frequently,32
3435,public,,frequently,622
3436,private,electric,frequently,4700
3437,walk/bicycle,,frequently,71
3438,private,electric,frequently,7398
3439,private,diesel,never,8656
3440,walk/bicycle,,frequently,14
3441,private,lpg,rarely,3826
3442,public,,rarely,825
3443,public,,very frequently,417
3444,walk/bicycle,,never,27
3445,private,petrol,rarely,9767
3446,walk/bicycle,,never,44
3447,walk/bicycle,,frequently,7
3448,walk/bicycle,,very frequently,21
3449,public,,never,1615
3450,public,,very frequently,1078
3451,private,hybrid,very frequently,8877
3452,walk/bicycle,,never,49
3453,walk/bicycle,,never,66
3454,private,hybrid,rarely,5539
3455,walk/bicycle,,frequently,87
3456,public,,never,555
3457,private,petrol,frequently,8026
3458,private,hybrid,never,6134
3459,walk/bicycle,,rarely,50
3460,walk/bicycle,,rarely,40
3461,walk/bicycle,,never,21
3462,public,,rarely,511
3463,public,,rarely,344
3464,public,,never,436
3465,public,,very frequently,673
3466,private,lpg,never,6571
3467,walk/bicycle,,never,14
3468,walk/bicycle,,rarely,18
3469,private,diesel,very frequently,8457
3470,private,lpg,frequently,2463
3471,public,,never,145
3472,public,,rarely,1763
3473,public,,rarely,688
3474,private,lpg,never,1170
3475,private,lpg,frequently,5102
3476,walk/bicycle,,rarely,91
3477,walk/bicycle,,never,39
3478,private,lpg,frequently,2222
3479,walk/bicycle,,never,86
3480,walk/bicycle,,never,1
3481,walk/bicycle,,never,32
3482,public,,never,1941
3483,private,hybrid,rarely,9623
3484,private,lpg,never,6726
3485,public,,frequently,626
3486,public,,very frequently,1257
3487,walk/bicycle,,very frequently,10
3488,private,hybrid,rarely,4206
3489,walk/bicycle,,never,1
3490,private,electric,very frequently,7185
3491,private,diesel,rarely,3225
3492,public,,never,843
3493,walk/bicycle,,very frequently,3
3494,public,,frequently,8
3495,private,petrol,very frequently,4362
3496,walk/bicycle,,frequently,69
3497,private,petrol,rarely,8046
3498,private,diesel,never,6852
3499,walk/bicycle,,frequently,57
3500,private,diesel,very frequently,7926
3501,private,electric,very frequently,5391
3502,walk/bicycle,,never,19
3503,private,diesel,very frequently,3775
3504,public,,rarely,1532
3505,walk/bicycle,,frequently,5
3506,public,,very frequently,737
3507,public,,rarely,1587
3508,private,hybrid,very frequently,59
3509,public,,very frequently,1010
3510,walk/bicycle,,never,30
3511,private,hybrid,never,9745
3512,private,hybrid,frequently,3201
3513,private,diesel,never,3228
3514,private,petrol,never,9599
3515,public,,rarely,1326
3516,walk/bicycle,,never,54
3517,private,lpg,very frequently,7188
3518,walk/bicycle,,very frequently,85
3519,walk/bicycle,,very frequently,34
3520,public,,rarely,1041
3521,private,diesel,rarely,5833
3522,private,electric,very frequently,112
3523,walk/bicycle,,rarely,2
3524,private,lpg,never,7989
3525,walk/bicycle,,rarely,12
3526,private,petrol,rarely,4553
3527,public,,very frequently,1613
3528,walk/bicycle,,never,86
3529,public,,never,1789
3530,walk/bicycle,,never,27
3531,private,hybrid,never,9242
3532,walk/bicycle,,rarely,22
3533,walk/bicycle,,rarely,10
3534,walk/bicycle,,very frequently,23
3535,public,,rarely,885
3536,public,,frequently,87
3537,private,petrol,rarely,2660
3538,walk/bicycle,,never,14
3539,private,electric,very frequently,4416
3540,public,,frequently,1364
3541,public,,very frequently,1116
3542,public,,rarely,1060
3543,private,electric,frequently,6246
3544,private,petrol,frequently,5866
3545,private,electric,frequently,7978
3546,private,hybrid,never,4093
3547,walk/bicycle,,never,24
3548,walk/bicycle,,never,90
3549,walk/bicycle,,frequently,43
3550,public,,frequently,323
3551,walk/bicycle,,never,73
3552,private,lpg,frequently,9584
3553,private,electric,never,5899
3554,public,,rarely,892
3555,walk/bicycle,,never,86
3556,public,,rarely,1374
3557,private,electric,frequently,4312
3558,private,diesel,very frequently,6482
3559,walk/bicycle,,never,92
3560,public,,frequently,367
3561,walk/bicycle,,never,6
3562,private,petrol,never,9598
3563,private,electric,very frequently,2580
3564,walk/bicycle,,frequently,59
3565,private,diesel,frequently,3026
3566,private,petrol,frequently,7023
3567,walk/bicycle,,never,93
3568,walk/bicycle,,never,74
3569,private,lpg,very frequently,4376
3570,public,,never,1264
3571,public,,rarely,1580
3572,walk/bicycle,,rarely,64
3573,walk/bicycle,,very frequently,55
3574,public,,very frequently,1338
3575,public,,never,772
3576,walk/bicycle,,frequently,27
3577,private,petrol,very frequently,2311
3578,private,electric,frequently,1834
3579,walk/bicycle,,rarely,35
3580,private,electric,very frequently,954
3581,private,petrol,never,5093
3582,private,lpg,rarely,9062
3583,private,electric,very frequently,9799
3584,private,petrol,frequently,7719
3585,public,,rarely,488
3586,private,diesel,frequently,5122
3587,private,diesel,very frequently,8771
3588,walk/bicycle,,frequently,76
3589,public,,rarely,1937
3590,public,,very frequently,902
3591,private,diesel,frequently,7201
3592,private,electric,never,3280
3593,private,hybrid,frequently,1349
3594,public,,rarely,994
3595,public,,very frequently,1903
3596,walk/bicycle,,very frequently,6
3597,private,lpg,very frequently,626
3598,public,,rarely,431
3599,walk/bicycle,,frequently,60
3600,walk/bicycle,,never,73
3601,private,petrol,frequently,7703
3602,public,,never,1366
3603,private,hybrid,frequently,9611
3604,public,,very frequently,839
3605,walk/bicycle,,frequently,77
3606,walk/bicycle,,never,77
3607,walk/bicycle,,rarely,77
3608,walk/bicycle,,very frequently,69
3609,public,,never,1484
3610,public,,never,362
3611,walk/bicycle,,very frequently,30
3612,walk/bicycle,,very frequently,13
3613,private,electric,never,1219
3614,public,,frequently,1802
3615,public,,very frequently,1523
3616,public,,frequently,609
3617,public,,rarely,1331
3618,private,petrol,never,654
3619,walk/bicycle,,frequently,45
3620,walk/bicycle,,rarely,67
3621,private,lpg,frequently,8869
3622,walk/bicycle,,frequently,0
3623,public,,rarely,670
3624,public,,frequently,1262
3625,private,petrol,frequently,1471
3626,walk/bicycle,,never,8
3627,public,,frequently,884
3628,public,,rarely,1060
3629,public,,very frequently,1537
3630,private,lpg,very frequently,4171
3631,public,,frequently,240
3632,private,diesel,very frequently,8308
3633,private,diesel,very frequently,4987
3634,public,,never,1869
3635,walk/bicycle,,rarely,33
3636,private,lpg,frequently,6879
3637,private,electric,very frequently,1815
3638,private,petrol,frequently,8898
3639,walk/bicycle,,frequently,14
3640,private,electric,frequently,3633
3641,public,,frequently,1285
3642,walk/bicycle,,never,7
3643,public,,frequently,1778
3644,public,,frequently,1896
3645,walk/bicycle,,never,19
3646,private,lpg,never,5539
3647,public,,very frequently,1652
3648,walk/bicycle,,very frequently,37
3649,public,,never,1703
3650,walk/bicycle,,frequently,46
3651,public,,very frequently,1970
3652,public,,never,12
3653,walk/bicycle,,frequently,74
3654,walk/bicycle,,frequently,19
3655,public,,very frequently,1681
3656,private,hybrid,frequently,7640
3657,private,lpg,very frequently,6653
3658,public,,rarely,1130
3659,public,,very frequently,313
3660,walk/bicycle,,frequently,86
3661,private,diesel,rarely,4730
3662,walk/bicycle,,rarely,15
3663,walk/bicycle,,very frequently,68
3664,walk/bicycle,,never,63
3665,public,,very frequently,977
3666,private,diesel,never,9965
3667,public,,very frequently,1507
3668,public,,frequently,1490
3669,walk/bicycle,,frequently,62
3670,public,,rarely,1873
3671,walk/bicycle,,frequently,54
3672,private,lpg,very frequently,4992
3673,private,electric,frequently,475
3674,walk/bicycle,,frequently,55
3675,private,petrol,very frequently,2336
3676,walk/bicycle,,rarely,45
3677,private,electric,never,3976
3678,public,,rarely,1884
3679,private,petrol,rarely,5776
3680,walk/bicycle,,frequently,25
3681,public,,rarely,789
3682,walk/bicycle,,frequently,26
3683,walk/bicycle,,rarely,71
3684,public,,very frequently,515
3685,public,,very frequently,1242
3686,public,,never,1864
3687,public,,frequently,1835
3688,walk/bicycle,,frequently,39
3689,public,,rarely,488
3690,public,,never,435
3691,private,petrol,rarely,2110
3692,public,,never,47
3693,walk/bicycle,,frequently,14
3694,public,,very frequently,1871
3695,public,,frequently,72
3696,private,lpg,rarely,8521
3697,walk/bicycle,,never,27
3698,private,electric,very frequently,5958
3699,public,,frequently,1726
3700,walk/bicycle,,rarely,17
3701,public,,rarely,549
3702,public,,frequently,1696
3703,public,,never,1479
3704,public,,frequently,967
3705,private,petrol,very frequently,8192
3706,private,hybrid,very frequently,3257
3707,walk/bicycle,,very frequently,77
3708,public,,frequently,1405
3709,public,,never,1979
3710,public,,rarely,317
3711,walk/bicycle,,very frequently,67
3712,private,diesel,rarely,35
3713,public,,never,279
3714,private,diesel,very frequently,9366
3715,public,,never,1648
3716,walk/bicycle,,rarely,28
3717,public,,frequently,1935
3718,walk/bicycle,,rarely,72
3719,walk/bicycle,,very frequently,92
3720,walk/bicycle,,frequently,13
3721,walk/bicycle,,very frequently,72
3722,walk/bicycle,,frequently,8
3723,walk/bicycle,,rarely,6
3724,public,,frequently,1279
3725,walk/bicycle,,very frequently,98
3726,walk/bicycle,,frequently,80
3727,private,lpg,never,599
3728,private,diesel,rarely,9004
3729,public,,very frequently,192
3730,public,,frequently,287
3731,private,diesel,never,9528
3732,private,hybrid,rarely,1507
3733,private,lpg,very frequently,9098
3734,public,,frequently,1202
3735,private,hybrid,very frequently,6797
3736,public,,very frequently,1864
3737,public,,rarely,475
3738,private,diesel,never,7608
3739,walk/bicycle,,never,85
3740,public,,rarely,479
3741,private,petrol,very frequently,5457
3742,walk/bicycle,,never,77
3743,public,,very frequently,1488
3744,private,petrol,rarely,6229
3745,public,,very frequently,1608
3746,walk/bicycle,,frequently,58
3747,walk/bicycle,,frequently,44
3748,public,,frequently,793
3749,walk/bicycle,,very frequently,16
3750,walk/bicycle,,very frequently,16
3751,walk/bicycle,,very frequently,50
3752,private,electric,never,2154
3753,public,,very frequently,188
3754,private,lpg,never,7026
3755,walk/bicycle,,never,20
3756,public,,never,627
3757,walk/bicycle,,never,6
3758,private,electric,rarely,4676
3759,public,,very frequently,459
3760,public,,very frequently,791
3761,walk/bicycle,,very frequently,78
3762,walk/bicycle,,rarely,18
3763,walk/bicycle,,never,17
3764,public,,never,1991
3765,private,hybrid,never,2511
3766,private,petrol,frequently,1548
3767,private,electric,never,3514
3768,private,electric,frequently,6505
3769,private,electric,rarely,8610
3770,private,petrol,frequently,6452
3771,public,,very frequently,989
3772,public,,frequently,1974
3773,private,petrol,frequently,9779
3774,public,,frequently,745
3775,public,,never,1568
3776,public,,very frequently,905
3777,walk/bicycle,,never,32
3778,public,,never,963
3779,public,,frequently,1091
3780,walk/bicycle,,very frequently,38
3781,walk/bicycle,,never,14
3782,public,,very frequently,1470
3783,public,,very frequently,1021
3784,public,,never,1801
3785,public,,very frequently,1775
3786,public,,frequently,93
3787,walk/bicycle,,rarely,73
3788,private,hybrid,rarely,2511
3789,walk/bicycle,,frequently,4
3790,public,,very frequently,1244
3791,private,electric,very frequently,8136
3792,private,electric,frequently,1101
3793,private,hybrid,frequently,2478
3794,walk/bicycle,,frequently,47
3795,private,hybrid,frequently,2162
3796,private,hybrid,frequently,844
3797,walk/bicycle,,frequently,77
3798,walk/bicycle,,very frequently,8
3799,public,,very frequently,78
3800,private,diesel,rarely,3699
3801,walk/bicycle,,rarely,29
3802,walk/bicycle,,very frequently,40
3803,private,electric,frequently,4155
3804,walk/bicycle,,frequently,88
3805,private,petrol,rarely,7424
3806,private,electric,never,499
3807,walk/bicycle,,rarely,63
3808,walk/bicycle,,frequently,96
3809,public,,very frequently,1711
3810,private,petrol,frequently,7793
3811,public,,never,1733
3812,private,petrol,very frequently,4905
3813,walk/bicycle,,very frequently,90
3814,walk/bicycle,,rarely,45
3815,walk/bicycle,,rarely,40
3816,walk/bicycle,,rarely,19
3817,walk/bicycle,,rarely,12
3818,private,petrol,frequently,9704
3819,private,diesel,rarely,3496
3820,walk/bicycle,,rarely,55
3821,public,,rarely,51
3822,public,,frequently,1306
3823,public,,never,1422
3824,private,diesel,never,5379
3825,walk/bicycle,,frequently,89
3826,private,diesel,frequently,672
3827,walk/bicycle,,frequently,86
3828,private,petrol,very frequently,9165
3829,public,,frequently,373
3830,walk/bicycle,,frequently,67
3831,walk/bicycle,,very frequently,56
3832,private,petrol,frequently,6257
3833,walk/bicycle,,very frequently,26
3834,public,,very frequently,1589
3835,private,petrol,frequently,7206
3836,public,,very frequently,743
3837,private,diesel,rarely,1346
3838,private,petrol,very frequently,5817
3839,walk/bicycle,,frequently,38
3840,walk/bicycle,,never,41
3841,walk/bicycle,,rarely,17
3842,private,electric,frequently,5192
3843,walk/bicycle,,never,3
3844,public,,never,1514
3845,walk/bicycle,,frequently,33
3846,walk/bicycle,,very frequently,83
3847,private,lpg,never,7957
3848,public,,never,1746
3849,private,petrol,frequently,9172
3850,private,diesel,frequently,5287
3851,private,hybrid,rarely,7042
3852,walk/bicycle,,very frequently,72
